"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NW Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)"
US48,"8/9/2022 8 p.m. EDT",48382,38415,45412,40000,133127,105139,55504,36450,18971
US48,"8/9/2022 9 p.m. EDT",49094,37016,43835,39289,128630,101979,55380,35180,18976
US48,"8/9/2022 10 p.m. EDT",49611,35217,42212,37652,122835,98989,54364,33739,18689
US48,"8/9/2022 11 p.m. EDT",49171,32580,40765,34862,115688,94480,52604,31570,18527
US48,"8/10/2022 12 a.m. EDT",47627,30031,38297,32070,109561,88993,50718,29355,17961
US48,"8/10/2022 1 a.m. EDT",46049,28059,35846,29434,103743,83971,47992,27311,16804
US48,"8/10/2022 2 a.m. EDT",43700,26483,33947,27669,98819,79575,44654,26436,15529
US48,"8/10/2022 3 a.m. EDT",40414,25456,32547,26454,95198,76295,38305,25664,14416
US48,"8/10/2022 4 a.m. EDT",37230,24620,31618,25749,92870,74320,39294,24971,13949
US48,"8/10/2022 5 a.m. EDT",34990,24408,31032,25628,92481,73485,37652,24728,13353
US48,"8/10/2022 6 a.m. EDT",33324,24981,30855,26526,94541,74069,36631,25013,13004
US48,"8/10/2022 7 a.m. EDT",31996,26024,31320,28131,98080,77002,36259,26386,12849
US48,"8/10/2022 8 a.m. EDT",31200,26988,32400,29071,101579,79146,36796,26744,12946
US48,"8/10/2022 9 a.m. EDT",31380,28702,33590,31470,106136,82064,37999,27516,13261
US48,"8/10/2022 10 a.m. EDT",32244,30682,35315,34582,110135,85157,39658,28474,13584
US48,"8/10/2022 11 a.m. EDT",33750,33085,37363,37660,113749,89284,41826,30184,13996
US48,"8/10/2022 12 p.m. EDT",35506,35762,39681,40837,118868,93848,43755,31742,14683
US48,"8/10/2022 1 p.m. EDT",37631,37944,41872,43478,124088,98180,45561,33269,15451
US48,"8/10/2022 2 p.m. EDT",38680,39855,43763,45760,127886,102110,47389,34779,16441
US48,"8/10/2022 3 p.m. EDT",39827,40762,45591,47427,130337,105192,49246,35910,17450
US48,"8/10/2022 4 p.m. EDT",41134,40950,46762,47972,131591,107157,51204,36629,18311
US48,"8/10/2022 5 p.m. EDT",42644,40472,47731,48451,131706,108903,52742,36898,19111
US48,"8/10/2022 6 p.m. EDT",44612,39713,48252,48231,130249,110351,53882,36965,19981
US48,"8/10/2022 7 p.m. EDT",46850,38706,48160,46746,127495,110027,54336,36304,20345
US48,"8/10/2022 8 p.m. EDT",48439,37150,47449,44463,123068,107951,54679,34961,20557
US48,"8/10/2022 9 p.m. EDT",49789,35950,45899,42754,118827,104043,54580,33541,19978
US48,"8/10/2022 10 p.m. EDT",50330,34220,43884,40805,113931,100735,53507,32083,19086
US48,"8/10/2022 11 p.m. EDT",49793,31788,42122,37967,106981,95954,51910,29835,18595
US48,"8/11/2022 12 a.m. EDT",48237,29370,39395,34579,101706,90239,50103,27776,17943
US48,"8/11/2022 1 a.m. EDT",46334,27205,36931,31854,97502,85069,47277,26245,16833
US48,"8/11/2022 2 a.m. EDT",43802,25572,34732,29755,92928,80407,43924,25439,15558
