"Date","Price","Open","High","Low","Vol.","Change %"
"2019-06-11","5.2027","5.2235","5.2277","5.1928","79.21K","-0.38%"
"2019-06-10","5.2225","5.2155","5.2319","5.2041","71.60K","0.36%"
"2019-06-07","5.2040","5.1722","5.2109","5.1677","77.20K","0.67%"
"2019-06-06","5.1693","5.1511","5.1730","5.1438","88.56K","0.40%"
"2019-06-05","5.1486","5.1578","5.1698","5.1444","99.14K","-0.16%"
"2019-06-04","5.1569","5.1371","5.1635","5.1307","102.29K","0.39%"
"2019-06-03","5.1368","5.1067","5.1394","5.1037","89.89K","0.58%"
"2019-05-31","5.1074","5.1122","5.1161","5.0895","113.64K","-0.07%"
"2019-05-30","5.1112","5.1143","5.1241","5.1058","90.30K","-0.03%"
"2019-05-29","5.1126","5.1209","5.1315","5.1017","97.55K","-0.13%"
"2019-05-28","5.1192","5.1312","5.1445","5.1186","89.57K","-0.21%"
"2019-05-27","5.1300","5.1368","5.1378","5.1216","63.71K","-0.07%"
"2019-05-24","5.1337","5.1288","5.1387","5.1223","88.95K","0.13%"
"2019-05-23","5.1271","5.1402","5.1467","5.1211","91.15K","-0.26%"
"2019-05-22","5.1406","5.1476","5.1705","5.1387","92.38K","-0.10%"
"2019-05-21","5.1456","5.1476","5.1559","5.1372","92.14K","-0.02%"
"2019-05-20","5.1468","5.1396","5.1551","5.1366","74.72K","0.13%"
"2019-05-17","5.1402","5.1150","5.1509","5.1097","100.49K","0.53%"
"2019-05-16","5.1131","5.1173","5.1340","5.1101","87.80K","-0.05%"
"2019-05-15","5.1155","5.1077","5.1219","5.0943","94.79K","0.19%"
"2019-05-14","5.1056","5.1038","5.1153","5.0965","86.60K","0.08%"
"2019-05-13","5.1016","5.0848","5.1252","5.0753","82.93K","0.31%"
"2019-05-10","5.0859","5.0662","5.1009","5.0465","112.24K","0.45%"
"2019-05-09","5.0631","5.0318","5.0736","5.0288","91.46K","0.65%"
"2019-05-08","5.0306","5.0297","5.0476","5.0239","94.74K","0.06%"
"2019-05-07","5.0278","5.0301","5.0557","5.0213","91.22K","0.03%"
"2019-05-06","5.0262","5.0132","5.0450","4.9934","77.93K","0.18%"
"2019-05-03","5.0173","4.9975","5.0243","4.9919","79.10K","0.42%"
"2019-05-02","4.9964","5.0100","5.0156","4.9967","82.80K","-0.21%"
"2019-05-01","5.0070","5.0317","5.0361","5.0026","71.07K","-0.47%"
"2019-04-30","5.0308","5.0034","5.0339","4.9990","86.50K","0.57%"
"2019-04-29","5.0024","5.0011","5.0108","4.9936","66.58K","0.05%"
"2019-04-26","4.9998","5.0002","5.0071","4.9889","100.47K","0.01%"
"2019-04-25","4.9991","4.9811","5.0030","4.9781","84.11K","0.37%"
"2019-04-24","4.9809","5.0111","5.0133","4.9698","106.17K","-0.56%"
"2019-04-23","5.0092","5.0285","5.0311","5.0025","89.46K","-0.38%"
"2019-04-22","5.0282","5.0076","5.0342","5.0042","76.52K","0.47%"
"2019-04-19","5.0046","5.0164","5.0198","5.0042","85.18K","-0.19%"
"2019-04-18","5.0143","5.0132","5.0216","5.0046","94.23K","0.06%"
"2019-04-17","5.0112","5.0290","5.0406","5.0083","105.32K","-0.29%"
"2019-04-16","5.0260","5.0190","5.0299","5.0043","106.01K","0.16%"
"2019-04-15","5.0181","5.0262","5.0466","5.0100","94.85K","-0.26%"
"2019-04-12","5.0314","5.0195","5.0389","5.0174","103.76K","0.26%"
"2019-04-11","5.0185","5.0427","5.0455","5.0144","106.49K","-0.42%"
"2019-04-10","5.0396","5.0352","5.0480","5.0268","110.82K","0.09%"
"2019-04-09","5.0350","5.0454","5.0541","5.0332","111.20K","-0.16%"
"2019-04-08","5.0430","5.0175","5.0488","5.0155","82.84K","0.48%"
"2019-04-05","5.0188","5.0295","5.0332","5.0127","113.88K","-0.16%"
"2019-04-04","5.0267","5.0275","5.0355","5.0230","117.71K","-0.01%"
"2019-04-03","5.0272","5.0422","5.0471","5.0264","119.82K","-0.25%"
"2019-04-02","5.0396","5.0444","5.0504","5.0262","124.51K","-0.04%"
"2019-04-01","5.0415","5.0262","5.0473","5.0161","104.65K","0.27%"
"2019-03-29","5.0279","5.0156","5.0318","4.9942","133.72K","0.28%"
"2019-03-28","5.0138","5.0161","5.0314","5.0076","134.89K","-0.03%"
"2019-03-27","5.0151","5.0192","5.0255","5.0047","134.86K","-0.02%"
"2019-03-26","5.0161","5.0055","5.0230","4.9987","120.08K","0.25%"
"2019-03-25","5.0037","5.0018","5.0091","4.9917","97.79K","0.07%"
"2019-03-22","5.0001","5.0144","5.0270","4.9994","137.99K","-0.21%"
"2019-03-21","5.0106","5.0317","5.0441","4.9981","136.68K","-0.37%"
"2019-03-20","5.0290","5.0402","5.0506","5.0133","126.93K","-0.16%"
"2019-03-19","5.0369","5.0349","5.0670","5.0290","131.53K","0.07%"
"2019-03-18","5.0334","5.0292","5.0457","5.0208","85.92K","-0.01%"
"2019-03-15","5.0337","5.0416","5.0578","5.0200","129.96K","-0.11%"
"2019-03-14","5.0393","5.0429","5.0511","5.0328","122.31K","0.01%"
"2019-03-13","5.0386","5.0244","5.0475","5.0161","127.82K","0.34%"
"2019-03-12","5.0217","5.0228","5.0269","5.0005","127.51K","0.08%"
"2019-03-11","5.0179","5.0094","5.0236","4.9998","104.89K","0.19%"
"2019-03-08","5.0086","4.9917","5.0201","4.9875","131.06K","0.40%"
"2019-03-07","4.9886","4.9932","5.0060","4.9845","122.78K","-0.05%"
"2019-03-06","4.9910","5.0255","5.0279","4.9866","131.28K","-0.65%"
"2019-03-05","5.0236","5.0420","5.0434","5.0176","125.77K","-0.29%"
"2019-03-04","5.0383","5.0448","5.0523","5.0266","108.14K","-0.09%"
"2019-03-01","5.0427","5.0821","5.1083","5.0381","131.70K","-0.75%"
"2019-02-28","5.0806","5.0830","5.0953","5.0613","129.84K","0.06%"
"2019-02-27","5.0773","5.0883","5.0954","5.0719","139.90K","-0.16%"
"2019-02-26","5.0854","5.0708","5.0944","5.0571","117.19K","0.37%"
"2019-02-25","5.0666","5.1084","5.1150","5.0679","105.48K","-0.81%"
"2019-02-22","5.1082","5.0788","5.1132","5.0740","123.85K","0.60%"
"2019-02-21","5.0775","5.1012","5.1066","5.0736","131.49K","-0.40%"
"2019-02-20","5.0979","5.1161","5.1206","5.0880","126.51K","-0.32%"
"2019-02-19","5.1143","5.1094","5.1190","5.0899","101.02K","0.09%"
"2019-02-18","5.1095","5.1151","5.1216","5.0742","78.28K","0.00%"
"2019-02-15","5.1095","5.0925","5.1151","5.0882","125.24K","0.32%"
"2019-02-14","5.0930","5.1005","5.1150","5.0753","126.76K","-0.12%"
"2019-02-13","5.0990","5.1175","5.1298","5.0966","113.18K","-0.32%"
"2019-02-12","5.1156","5.1059","5.1198","5.0970","123.65K","0.23%"
"2019-02-11","5.1039","5.0730","5.1202","5.0730","103.35K","0.52%"
"2019-02-08","5.0773","5.0682","5.0981","5.0599","114.22K","0.22%"
"2019-02-07","5.0662","5.1047","5.1086","5.0631","104.67K","-0.70%"
"2019-02-06","5.1018","5.1396","5.1400","5.1021","115.65K","-0.67%"
"2019-02-05","5.1360","5.1448","5.1487","5.1269","110.77K","-0.13%"
"2019-02-04","5.1427","5.1384","5.1548","5.1297","80.19K","-0.07%"
"2019-02-01","5.1462","5.1056","5.1621","5.1000","123.75K","0.77%"
"2019-01-31","5.1069","5.1076","5.1155","5.0918","120.52K","-0.02%"
"2019-01-30","5.1080","5.0769","5.1209","5.0616","126.75K","0.66%"
"2019-01-29","5.0743","5.0862","5.0930","5.0667","123.53K","-0.26%"
"2019-01-28","5.0873","5.1040","5.1074","5.0766","101.21K","-0.34%"
"2019-01-25","5.1046","5.0835","5.1069","5.0692","119.72K","0.38%"
"2019-01-24","5.0854","5.0931","5.0980","5.0792","119.73K","-0.12%"
"2019-01-23","5.0915","5.0988","5.1068","5.0796","118.76K","-0.13%"
"2019-01-22","5.0981","5.1108","5.1139","5.0958","118.57K","-0.32%"
"2019-01-21","5.1143","5.1185","5.1269","5.1036","107.69K","0.03%"
"2019-01-18","5.1127","5.1035","5.1226","5.1001","93.48K","0.17%"
"2019-01-17","5.1039","5.0973","5.1158","5.0850","103.27K","0.12%"
